"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidad formulario reserva","Validar formulario de reserva","SUCCESS","2022-04-29T13:34:28.866-05:00[America/Bogota]","0.0","0.34"
"Funcionalidad formulario reserva","Validar formulario fecha reserva","SUCCESS","2022-04-29T13:34:29.223-05:00[America/Bogota]","0.0","0.02"
"Funcionalidad formulario reserva","Mostrar horarios de la fecha asignada","SUCCESS","2022-04-29T13:34:29.249-05:00[America/Bogota]","0.0","0.02"
"Validar boton reserva","Mostrar el boton reserva","SUCCESS","2022-04-29T13:34:31.617-05:00[America/Bogota]","0.0","0.01"
"Validar boton reserva","Validar caracteristica boton reserva","SUCCESS","2022-04-29T13:34:31.637-05:00[America/Bogota]","0.0","0.01"
"Validar calendario","Mostrar el formulario de la fecha","SUCCESS","2022-04-29T13:34:31.704-05:00[America/Bogota]","0.0","0.02"
"Validar Horario","Mostrar el formulario de la fecha no disponible","SUCCESS","2022-04-29T13:34:31.776-05:00[America/Bogota]","0.0","0.02"
"Validar Horario","Mostrar el formulario de la fecha inhabilitado para demas usuarios","SUCCESS","2022-04-29T13:34:31.797-05:00[America/Bogota]","0.0","0.02"
"Validar correo","Validar correo enviado a cliente por creacion de pedido","SUCCESS","2022-04-29T13:35:31.373-05:00[America/Bogota]","0.0","0.01"
"Validar correo","Validar correo a administrador por creacion de pedido","SUCCESS","2022-04-29T13:35:31.388-05:00[America/Bogota]","0.0","0.01"
"Validar boton Mis Reservas","Mostrar el boton  mis reservas","SUCCESS","2022-04-29T13:36:00.744-05:00[America/Bogota]","0.0","0.02"
"Validar boton Mis Reservas","Mostrar el campo codigo de reserva","SUCCESS","2022-04-29T13:36:00.771-05:00[America/Bogota]","0.0","0.02"
"Validar boton Mis Reservas","Mostrar boton Modificar reserva","SUCCESS","2022-04-29T13:36:00.796-05:00[America/Bogota]","0.0","0.02"
"Validar boton Mis Reservas","Mostrar boton Cancelar reserva","SUCCESS","2022-04-29T13:36:00.827-05:00[America/Bogota]","0.0","0.02"
"Validar correo de modificacion de reserva","Validar correo de modificacion para cliente","SUCCESS","2022-04-29T13:36:00.918-05:00[America/Bogota]","0.0","0.02"
"Validar correo de modificacion de reserva","Validar correo de modificacion para administrador","SUCCESS","2022-04-29T13:36:00.938-05:00[America/Bogota]","0.0","0.02"
"Validar boton Modificar Reserva","Validar que se pueda modificar reserva","SUCCESS","2022-04-29T13:36:23.136-05:00[America/Bogota]","0.0","0.01"
"Validar boton Modificar Reserva","Validar que no se pueda modificar reserva","SUCCESS","2022-04-29T13:36:23.152-05:00[America/Bogota]","0.0","0.01"
"Cancelar Reserva","Cancelacion de reserva","SUCCESS","2022-04-29T13:36:23.208-05:00[America/Bogota]","0.0","0.02"
"Validar correo de modificacion de reserva","Validar correo de cancelacion para cliente","SUCCESS","2022-04-29T13:36:23.268-05:00[America/Bogota]","0.0","0.02"
"Validar correo de modificacion de reserva","Validar correo de cancelacion para administrador","SUCCESS","2022-04-29T13:36:23.289-05:00[America/Bogota]","0.0","0.02"
"Validar boton Cancelar Reserva","Validar que se pueda cancelar reserva","SUCCESS","2022-04-29T13:36:23.353-05:00[America/Bogota]","0.0","0.02"
"Validar boton Cancelar Reserva","Validar que no se pueda cancelar reserva","SUCCESS","2022-04-29T13:36:23.376-05:00[America/Bogota]","0.0","0.02"
